STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/7/1999,59,72,46
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/8/1999,63,83,42
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/9/1999,55,63,46
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/10/1999,51,61,40
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/11/1999,44,50,38
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/12/1999,50,56,43
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/13/1999,51,62,39
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/14/1999,55,68,42
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/15/1999,54,62,45
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/16/1999,53,65,41
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/17/1999,48,62,34
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/18/1999,51,60,41
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/19/1999,48,59,36
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/20/1999,49,57,40
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/21/1999,45,57,33
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/22/1999,65,82,47
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/23/1999,56,61,51
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/24/1999,49,61,37
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/25/1999,50,63,37
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/26/1999,55,75,35
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/27/1999,57,65,49
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/28/1999,55,64,46
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/29/1999,53,67,39
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",4/30/1999,56,66,46
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/1/1999,56,67,44
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/2/1999,57,68,45
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/3/1999,54,60,47
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/4/1999,64,76,52
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/5/1999,63,75,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/6/1999,59,64,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/7/1999,63,68,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/8/1999,69,80,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/9/1999,65,78,52
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/10/1999,62,78,45
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/11/1999,63,77,49
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/12/1999,68,85,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/13/1999,65,70,60
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/14/1999,60,68,51
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/15/1999,61,74,47
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/16/1999,57,71,42
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/17/1999,61,73,48
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/18/1999,65,78,51
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/19/1999,71,77,64
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/20/1999,64,77,51
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/21/1999,64,83,44
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/22/1999,69,87,51
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/23/1999,71,79,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/24/1999,67,80,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/25/1999,62,74,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/26/1999,65,78,52
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/27/1999,64,75,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/28/1999,67,85,48
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/29/1999,73,88,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/30/1999,75,91,59
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",5/31/1999,74,89,59
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/1/1999,75,87,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/2/1999,79,89,69
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/3/1999,75,83,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/4/1999,66,78,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/5/1999,65,80,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/6/1999,70,86,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/7/1999,79,96,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/8/1999,84,97,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/9/1999,82,96,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/10/1999,65,71,59
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/11/1999,67,79,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/12/1999,65,77,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/13/1999,74,81,67
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/14/1999,75,88,62
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/15/1999,75,84,66
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/16/1999,69,74,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/17/1999,64,69,59
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/18/1999,64,74,54
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/19/1999,64,78,50
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/20/1999,61,64,58
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/21/1999,63,67,59
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/22/1999,67,79,55
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/23/1999,70,82,57
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/24/1999,68,82,53
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/25/1999,73,84,61
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/26/1999,78,90,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/27/1999,78,87,68
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/28/1999,80,86,74
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/29/1999,82,92,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",6/30/1999,74,77,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/1/1999,78,85,71
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/2/1999,80,87,72
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/3/1999,81,92,70
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/4/1999,86,98,74
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/5/1999,90,102,77
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/6/1999,88,101,74
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/7/1999,85,95,75
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/8/1999,79,92,65
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/9/1999,81,99,63
USW00093721,"BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US",7/10/1999,81,90,72
